LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,SCH_MATHCLASSES_ALG,SCH_MATHCERT_ALG,NCESSCH,Total_Alg1_enroll_students,Total_Alg1_pass_students
AL,ALABAMA,0100420,Blount County,00211,Southeastern School,10042000211,4,4,010042000211,74,65
AL,ALABAMA,0100420,Blount County,00213,Susan Moore High School,10042000213,7,7,010042000213,92,87
AL,ALABAMA,0100450,Brewton City,00216,TR Miller High School,10045000216,4,4,010045000216,80,74
AL,ALABAMA,0100480,Bullock County,00218,Bullock County High School,10048000218,4,4,010048000218,112,108
AL,ALABAMA,0100510,Butler County,00226,Greenville High School,10051000226,12,10,010051000226,146,1
AL,ALABAMA,0100510,Butler County,00229,McKenzie High School,10051000229,1,1,010051000229,18,17
AL,ALABAMA,0100510,Butler County,02144,Georgiana School,10051002144,1,0,010051002144,14,1
AL,ALABAMA,0100540,Calhoun County,00232,Alexandria High School,10054000232,5,5,010054000232,202,198
AL,ALABAMA,0100540,Calhoun County,00240,Ohatchee High School,10054000240,23,23,010054000240,23,0
AL,ALABAMA,0100540,Calhoun County,00243,Saks High School,10054000243,5,5,010054000243,128,116
AL,ALABAMA,0100540,Calhoun County,00247,Weaver High School,10054000247,2,2,010054000247,26,26
AL,ALABAMA,0100540,Calhoun County,00250,White Plains High School,10054000250,4,4,010054000250,89,89
AL,ALABAMA,0100540,Calhoun County,01488,Pleasant Valley High School,10054001488,5,5,010054001488,91,88
AL,ALABAMA,0100540,Calhoun County,01489,Wellborn High School,10054001489,4,4,010054001489,93,84
AL,ALABAMA,0100600,Chambers County,00263,Lafayette High School,10060000263,1,1,010060000263,34,30
AL,ALABAMA,0100600,Chambers County,00271,Valley High School,10060000271,24,16,010060000271,299,234
AL,ALABAMA,0100630,Cherokee County,00274,Cedar Bluff High School,10063000274,2,2,010063000274,36,35
AL,ALABAMA,0100630,Cherokee County,00278,Cherokee County High School,10063000278,6,2,010063000278,138,135
AL,ALABAMA,0100630,Cherokee County,00279,Gaylesville High School,10063000279,1,1,010063000279,10,0
AL,ALABAMA,0100630,Cherokee County,00282,Sand Rock High School,10063000282,3,3,010063000282,51,41
AL,ALABAMA,0100630,Cherokee County,00283,Spring Garden High School,10063000283,2,2,010063000283,46,46
AL,ALABAMA,0100660,Chilton County,00261,Isabella High School,10066000261,3,3,010066000261,82,79
AL,ALABAMA,0100660,Chilton County,00262,Jemison High School,10066000262,6,6,010066000262,161,143
AL,ALABAMA,0100660,Chilton County,00265,Maplesville High School,10066000265,1,1,010066000265,40,40
AL,ALABAMA,0100660,Chilton County,00270,Thorsby High School,10066000270,3,3,010066000270,33,31
AL,ALABAMA,0100660,Chilton County,00288,Verbena High School,10066000288,2,2,010066000288,25,12
AL,ALABAMA,0100660,Chilton County,01491,Chilton County High School,10066001491,13,4,010066001491,143,140
AL,ALABAMA,0100690,Choctaw County Board of Education,00291,Choctaw County High School,10069000291,3,3,010069000291,62,60
AL,ALABAMA,0100690,Choctaw County Board of Education,00297,Southern Choctaw High School,10069000297,2,2,010069000297,55,55
AL,ALABAMA,0100720,Clarke County,00298,Clarke County High School,10072000298,4,4,010072000298,73,49
AL,ALABAMA,0100720,Clarke County,01493,Jackson High School,10072001493,7,7,010072001493,136,119
AL,ALABAMA,0100780,Cleburne County,00318,Cleburne County High School,10078000318,1,1,010078000318,22,19
AL,ALABAMA,0100780,Cleburne County,00321,Ranburne High School,10078000321,2,2,010078000321,46,46
AL,ALABAMA,0100810,Coffee County,00323,Kinston School,10081000323,4,4,010081000323,37,37
AL,ALABAMA,0100810,Coffee County,00327,Zion Chapel High School,10081000327,3,3,010081000327,41,41
AL,ALABAMA,0100810,Coffee County,01494,New Brockton High School,10081001494,5,4,010081001494,54,54
AL,ALABAMA,0100840,Colbert County,00333,Cherokee High School,10084000333,2,2,010084000333,40,40
AL,ALABAMA,0100840,Colbert County,00334,Colbert County High School,10084000334,6,6,010084000334,81,81
AL,ALABAMA,0100840,Colbert County,00335,Colbert Heights High School,10084000335,5,5,010084000335,106,5
AL,ALABAMA,0100870,Conecuh County,01766,Hillcrest High School,10087001766,5,5,010087001766,127,124
AL,ALABAMA,0100900,Coosa County,01749,Central High School,10090001749,2,2,010090001749,57,54
AL,ALABAMA,0100930,Covington County,00360,Florala High School,10093000360,4,4,010093000360,56,51
AL,ALABAMA,0100930,Covington County,00361,Pleasant Home School,10093000361,3,3,010093000361,57,56
AL,ALABAMA,0100930,Covington County,00362,Red Level High School,10093000362,2,2,010093000362,45,39
AL,ALABAMA,0100930,Covington County,00363,Straughn High School,10093000363,8,8,010093000363,122,122
AL,ALABAMA,0100960,Crenshaw County,00365,Brantley High School,10096000365,2,2,010096000365,41,41
AL,ALABAMA,0100960,Crenshaw County,00367,Highland Home School,10096000367,3,3,010096000367,59,59
AL,ALABAMA,0100960,Crenshaw County,00368,Luverne High School,10096000368,3,3,010096000368,62,0
AL,ALABAMA,0100990,Cullman City,00370,Cullman High School,10099000370,15,15,010099000370,208,204
AL,ALABAMA,0101020,Cullman County,00374,Cold Springs High School,10102000374,2,2,010102000374,46,0
AL,ALABAMA,0101020,Cullman County,00377,Fairview High School,10102000377,6,0,010102000377,115,102
AL,ALABAMA,0101020,Cullman County,00379,Good Hope High School,10102000379,3,3,010102000379,70,69
AL,ALABAMA,0101020,Cullman County,00380,Hanceville High School,10102000380,4,4,010102000380,88,48
AL,ALABAMA,0101020,Cullman County,00381,Holly Pond High School,10102000381,2,2,010102000381,51,0
AL,ALABAMA,0101020,Cullman County,00385,Vinemont High School,10102000385,3,3,010102000385,62,58
AL,ALABAMA,0101020,Cullman County,00387,West Point High School,10102000387,4,4,010102000387,81,64
AL,ALABAMA,0101050,Dale County,00388,Ariton School,10105000388,2,2,010105000388,91,86
AL,ALABAMA,0101050,Dale County,00389,Dale County High School,10105000389,8,8,010105000389,198,187
AL,ALABAMA,0101050,Dale County,00390,George W Long High School,10105000390,3,3,010105000390,59,58
AL,ALABAMA,0101080,Daleville City,00394,Daleville High School,10108000394,4,3,010108000394,65,64
AL,ALABAMA,0101110,Dallas County,00397,Dallas County High School,10111000397,4,4,010111000397,105,95
AL,ALABAMA,0101110,Dallas County,00402,Keith MiddleHigh School,10111000402,1,1,010111000402,18,17
AL,ALABAMA,0101110,Dallas County,00406,Southside High School,10111000406,4,4,010111000406,74,70
AL,ALABAMA,0101140,DeKalb County,00411,Collinsville High School,10114000411,1,1,010114000411,1,1
AL,ALABAMA,0101140,DeKalb County,00415,Fyffe High School,10114000415,1,1,010114000415,17,17
AL,ALABAMA,0101140,DeKalb County,00416,Geraldine School,10114000416,1,1,010114000416,22,21
AL,ALABAMA,0101140,DeKalb County,00419,Ider School,10114000419,1,1,010114000419,31,26
AL,ALABAMA,0101140,DeKalb County,00422,Plainview School,10114000422,1,1,010114000422,14,14
AL,ALABAMA,0101140,DeKalb County,00424,Sylvania School,10114000424,2,2,010114000424,44,40
AL,ALABAMA,0101140,DeKalb County,00425,Valley Head High School,10114000425,2,2,010114000425,43,40
AL,ALABAMA,0101140,DeKalb County,01860,Crossville High School,10114001860,2,2,010114001860,42,33
AL,ALABAMA,0101170,Decatur City,00426,Austin High School,10117000426,26,25,010117000426,323,287
AL,ALABAMA,0101170,Decatur City,00429,Decatur High School,10117000429,22,22,010117000429,252,217
AL,ALABAMA,0101200,Demopolis City,00148,Demopolis High School,10120000148,10,2,010120000148,185,176
AL,ALABAMA,0101230,Dothan City,00445,Dothan High School,10123000445,12,12,010123000445,277,255
AL,ALABAMA,0101230,Dothan City,01501,Northview High School,10123001501,13,13,010123001501,252,166
AL,ALABAMA,0101260,Elba City,00461,Elba High School,10126000461,2,2,010126000461,55,54
AL,ALABAMA,0101290,Elmore County,00463,Elmore County High School,10129000463,8,8,010129000463,179,160
AL,ALABAMA,0101290,Elmore County,00465,Holtville High School,10129000465,2,2,010129000465,38,33
AL,ALABAMA,0101290,Elmore County,00468,Stanhope Elmore High School,10129000468,10,7,010129000468,182,155
AL,ALABAMA,0101290,Elmore County,00471,Wetumpka High School,10129000471,12,12,010129000471,280,221
AL,ALABAMA,0101290,Elmore County,99998,ELMORE COUNTY ALTERNATIVE PROGRAMs,10129099998,1,1,010129099998,138,121
AL,ALABAMA,0101320,Enterprise City,00476,Enterprise High School,10132000476,13,13,010132000476,405,371
AL,ALABAMA,0101350,Escambia County,00484,Escambia County High School,10135000484,9,1,010135000484,162,149
AL,ALABAMA,0101350,Escambia County,00487,Flomaton High School,10135000487,2,2,010135000487,38,34
AL,ALABAMA,0101350,Escambia County,00492,W S Neal High School,10135000492,1,1,010135000492,33,33
AL,ALABAMA,0101380,Etowah County,00496,Gaston High School,10138000496,4,4,010138000496,46,18
AL,ALABAMA,0101380,Etowah County,00498,Glencoe High School,10138000498,2,2,010138000498,27,27
AL,ALABAMA,0101380,Etowah County,00505,Sardis High School,10138000505,6,6,010138000505,98,95
AL,ALABAMA,0101380,Etowah County,00506,Southside High School,10138000506,8,8,010138000506,168,168
AL,ALABAMA,0101380,Etowah County,00507,West End High School,10138000507,2,2,010138000507,51,41
AL,ALABAMA,0101380,Etowah County,01662,Hokes Bluff High School,10138001662,3,3,010138001662,62,62
AL,ALABAMA,0101410,Eufaula City,00511,Eufaula High School,10141000511,10,10,010141000511,313,299
AL,ALABAMA,0101440,Fairfield City,00516,Fairfield High Preparatory School,10144000516,2,2,010144000516,45,45
AL,ALABAMA,0101470,Fayette County,00521,Berry High School,10147000521,20,20,010147000521,20,20
AL,ALABAMA,0101470,Fayette County,00525,Hubbertville School,10147000525,3,3,010147000525,36,36
AL,ALABAMA,0101470,Fayette County,01787,Fayette County High School,10147001787,6,6,010147001787,118,118
