LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,NCESSCH,SCH_MATHCERT_GEOM,SCH_MATHCLASSES_GEOM,Total_Geomty_enroll_students
AZ,ARIZONA,0402320,Coolidge Unified District,03449,Coolidge Alternative Program,040232003449,040232003449,0,5,11
AZ,ARIZONA,0402530,Douglas Unified District,00187,Douglas High School,040253000187,040253000187,17,17,342
AZ,ARIZONA,0402600,Duncan Unified District,00196,Duncan High School,040260000196,040260000196,2,2,20
AZ,ARIZONA,0402690,Dysart Unified District,00198,Dysart High School,040269000198,040269000198,32,32,386
AZ,ARIZONA,0402690,Dysart Unified District,02684,Valley Vista High School,040269002684,040269002684,41,41,725
AZ,ARIZONA,0402690,Dysart Unified District,02971,Shadow Ridge High School,040269002971,040269002971,41,41,590
AZ,ARIZONA,0402690,Dysart Unified District,03126,Willow Canyon High School,040269003126,040269003126,33,33,462
AZ,ARIZONA,0402690,Dysart Unified District,03193,Dysart iSchool,040269003193,040269003193,1,1,7
AZ,ARIZONA,0402740,Mary C O'Brien Accommodation District,01625,Villa Oasis Interscholastic Center For Education (voice),040274001625,040274001625,2,2,23
AZ,ARIZONA,0402860,Flagstaff Unified District,00212,Coconino High School,040286000212,040286000212,13,13,383
AZ,ARIZONA,0402860,Flagstaff Unified District,00215,Flagstaff High School,040286000215,040286000215,17,17,417
AZ,ARIZONA,0402860,Flagstaff Unified District,01158,Summit High School,040286001158,040286001158,4,4,28
AZ,ARIZONA,0402920,Florence Unified School District,00228,Florence High School,040292000228,040292000228,5,5,166
AZ,ARIZONA,0402920,Florence Unified School District,02896,San Tan Foothills High School,040292002896,040292002896,4,9,168
AZ,ARIZONA,0402920,Florence Unified School District,02972,Poston Butte High School,040292002972,040292002972,3,12,288
AZ,ARIZONA,0403010,Flowing Wells Unified District,00231,Flowing Wells High School,040301000231,040301000231,15,15,435
AZ,ARIZONA,0403010,Flowing Wells Unified District,01611,Sentinel Peak High School,040301001611,040301001611,1,1,25
AZ,ARIZONA,0403040,Fountain Hills Unified District,00038,Fountain Hills High School,040304000038,040304000038,14,15,119
AZ,ARIZONA,0403080,Fredonia-Moccasin Unified District,00242,Fredonia High School,040308000242,040308000242,1,1,16
AZ,ARIZONA,0403200,Fort Thomas Unified District,00249,Fort Thomas High School,040320000249,040320000249,3,3,44
AZ,ARIZONA,0403290,Ganado Unified School District,00252,Ganado High School,040329000252,040329000252,1,5,96
AZ,ARIZONA,0403450,Glendale Union High School District,00275,Apollo High School,040345000275,040345000275,21,21,416
AZ,ARIZONA,0403450,Glendale Union High School District,00277,Cortez High School,040345000277,040345000277,12,12,322
AZ,ARIZONA,0403450,Glendale Union High School District,00278,Glendale High School,040345000278,040345000278,17,17,404
AZ,ARIZONA,0403450,Glendale Union High School District,00279,Greenway High School,040345000279,040345000279,12,12,335
AZ,ARIZONA,0403450,Glendale Union High School District,00280,Moon Valley High School,040345000280,040345000280,13,13,355
AZ,ARIZONA,0403450,Glendale Union High School District,00281,Sunnyslope High School,040345000281,040345000281,19,19,481
