LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,NCESSCH,SCH_APENR_IND,SCH_APCOURSES,SCH_APMATHENR_IND,Total_AP_math_students,Total_students_tookAP,SCH_APENR_IND_new,SCH_APMATHENR_IND_new
PA,PENNSYLVANIA,4202590,Armstrong SD,00517,West Shamokin JSHS,420259000517,420259000517,Yes,9,Yes,16,45,1,1
PA,PENNSYLVANIA,4202590,Armstrong SD,07569,Armstrong JSHS,420259007569,420259007569,Yes,10,Yes,52,129,1,1
PA,PENNSYLVANIA,4202600,Lenape Tech,04807,Lenape Tech,420260004807,420260004807,No,0,-9,0,0,0,0
PA,PENNSYLVANIA,4202670,Athens Area SD,00958,Athens Area HS,420267000958,420267000958,Yes,8,Yes,24,64,1,1
PA,PENNSYLVANIA,4202700,Austin Area SD,06222,Austin Area JSHS,420270006222,420270006222,No,0,-9,0,0,0,0
PA,PENNSYLVANIA,4202760,Avella Area SD,04165,Avella Area JSHS,420276004165,420276004165,Yes,14,Yes,10,25,1,1
PA,PENNSYLVANIA,4202790,Avon Grove SD,01367,Avon Grove HS,420279001367,420279001367,Yes,21,Yes,130,0,1,1
PA,PENNSYLVANIA,4202820,Avonworth SD,05199,Avonworth HS,420282005199,420282005199,Yes,13,Yes,47,87,1,1
PA,PENNSYLVANIA,4202850,Pine-Richland SD,00315,Pine-Richland HS,420285000315,420285000315,Yes,19,Yes,121,530,1,1
PA,PENNSYLVANIA,4202900,Chester County Technical College High School,00015,Chester County Tech College HS Pickering,420290000015,420290000015,No,0,-9,0,0,0,0
PA,PENNSYLVANIA,4202910,Bald Eagle Area SD,01335,Bald Eagle Area JSHS,420291001335,420291001335,Yes,7,Yes,25,78,1,1
PA,PENNSYLVANIA,4202970,Baldwin-Whitehall SD,00050,Baldwin SHS,420297000050,420297000050,Yes,15,Yes,96,143,1,1
PA,PENNSYLVANIA,4203000,Bangor Area SD,03434,Bangor Area HS,420300003434,420300003434,Yes,8,Yes,9,0,1,1
PA,PENNSYLVANIA,4203120,Beaver Area SD,00640,Beaver Area SHS,420312000640,420312000640,Yes,13,Yes,25,217,1,1
PA,PENNSYLVANIA,4203180,Bedford Area SD,00726,Bedford SHS,420318000726,420318000726,Yes,5,Yes,19,42,1,1
PA,PENNSYLVANIA,4203210,Belle Vernon Area SD,04930,Belle Vernon Area HS,420321004930,420321004930,Yes,11,Yes,45,82,1,1
PA,PENNSYLVANIA,4203240,Bellefonte Area SD,01343,Bellefonte Area HS,420324001343,420324001343,Yes,19,Yes,49,131,1,1
PA,PENNSYLVANIA,4203300,Bellwood-Antis SD,00917,Bellwood-Antis HS,420330000917,420330000917,Yes,1,No,0,8,1,0
PA,PENNSYLVANIA,4203330,Bensalem Township SD,05116,Bensalem Twp HS,420333005116,420333005116,Yes,14,Yes,56,226,1,1
PA,PENNSYLVANIA,4203360,Bentworth SD,04188,Bentworth SHS,420336004188,420336004188,Yes,5,No,0,14,1,0
PA,PENNSYLVANIA,4203390,Benton Area SD,01595,Benton Area MSHS,420339001595,420339001595,Yes,5,Yes,7,15,1,1
PA,PENNSYLVANIA,4203390,Benton Area SD,99999,Benton Blended School,420339099999,420339099999,No,0,-9,0,0,0,0
PA,PENNSYLVANIA,4203420,Berlin Brothersvalley SD,06207,Berlin Brothersvalley SHS,420342006207,420342006207,Yes,4,Yes,6,22,1,1
PA,PENNSYLVANIA,4203450,Bermudian Springs SD,00003,Bermudian Springs HS,420345000003,420345000003,Yes,3,No,0,7,1,0
