LEA_STATE_x,LEA_STATE_NAME_x,LEAID_x,LEA_NAME_x,SCHID_x,SCH_NAME_x,COMBOKEY_x,Special_ed_schl_new,Magnet_schl_new,Charter_Schl_new,Alternate_schl_new,NCESSCH,LEVEL,Total_enroll_students,SCH_FTETEACH_TOT,SCH_FTETEACH_CERT,SCH_FTETEACH_NOTCERT,FTE_teachers_count,SalaryforTeachers,Total_SAT_ACT_students,SCH_IBENR_IND_new,Total_IB_students,SCH_APENR_IND_new,SCH_APCOURSES,SCH_APOTHENR_IND_new,Total_AP_other_students,Total_students_tookAP
AL,ALABAMA,0100420,Blount County,00209,JB Pennington High School,010042000209,0,0,0,0,010042000209,High,537.0,32.38,31.38,1.0,27.05,1354099.55,115.0,0.0,-18.0,0.0,-9.0,-9.0,-18.0,-18.0
AL,ALABAMA,0100420,Blount County,00210,Locust Fork High School,010042000210,0,0,0,0,010042000210,High,505.0,29.93,29.93,0.0,25.06,1198640.47,83.0,0.0,-18.0,1.0,5.0,1.0,68.0,76.0
AL,ALABAMA,0100420,Blount County,00213,Susan Moore High School,010042000213,0,0,0,0,010042000213,High,554.0,34.59,32.59,2.0,28.88,1430740.55,80.0,0.0,-18.0,0.0,-9.0,-9.0,-18.0,-18.0
AL,ALABAMA,0100450,Brewton City,00216,TR Miller High School,010045000216,0,0,0,0,010045000216,High,343.0,25.0,25.0,0.0,21.25,1107365.55,108.0,0.0,-18.0,1.0,4.0,1.0,71.0,71.0
AL,ALABAMA,0100480,Bullock County,00218,Bullock County High School,010048000218,0,0,0,0,010048000218,High,398.0,29.0,24.0,5.0,22.85,1445690.0,73.0,0.0,-18.0,0.0,-9.0,-9.0,-18.0,-18.0
AL,ALABAMA,0100540,Calhoun County,00232,Alexandria High School,010054000232,0,0,0,0,010054000232,High,592.0,40.07,40.07,0.0,40.07,2135654.0,152.0,0.0,-18.0,1.0,2.0,1.0,28.0,30.0
AL,ALABAMA,0100540,Calhoun County,00240,Ohatchee High School,010054000240,0,0,0,0,010054000240,High,447.0,29.93,29.93,0.0,28.93,1498072.0,73.0,0.0,-18.0,1.0,4.0,1.0,24.0,49.0
AL,ALABAMA,0100540,Calhoun County,00243,Saks High School,010054000243,0,0,0,0,010054000243,High,378.0,28.0,28.0,0.0,24.65,1342805.0,89.0,0.0,-18.0,1.0,1.0,1.0,26.0,13.0
AL,ALABAMA,0100540,Calhoun County,00247,Weaver High School,010054000247,0,0,0,0,010054000247,High,531.0,31.31,31.31,0.0,31.31,1717555.0,78.0,0.0,-18.0,1.0,1.0,1.0,15.0,3.0
AL,ALABAMA,0100540,Calhoun County,00250,White Plains High School,010054000250,0,0,0,0,010054000250,High,437.0,29.0,29.0,0.0,29.0,1540648.0,100.0,0.0,-18.0,1.0,6.0,1.0,29.0,27.0
AL,ALABAMA,0100540,Calhoun County,01488,Pleasant Valley High School,010054001488,0,0,0,0,010054001488,High,472.0,31.58,31.58,0.0,31.58,1701869.0,152.0,0.0,-18.0,0.0,-9.0,-9.0,-18.0,-18.0
AL,ALABAMA,0100540,Calhoun County,01489,Wellborn High School,010054001489,0,0,0,0,010054001489,High,542.0,33.9,33.9,0.0,30.94,1543672.0,95.0,0.0,-18.0,1.0,7.0,0.0,-18.0,46.0
AL,ALABAMA,0100600,Chambers County,00263,Lafayette High School,010060000263,0,0,0,0,010060000263,High,242.0,14.0,14.0,0.0,13.63,1050000.0,53.0,0.0,-18.0,0.0,-9.0,-9.0,-18.0,-18.0
AL,ALABAMA,0100600,Chambers County,00271,Valley High School,010060000271,0,0,0,0,010060000271,High,769.0,50.0,50.0,0.0,44.53,3375000.0,240.0,0.0,-18.0,0.0,-9.0,-9.0,-18.0,-18.0
AL,ALABAMA,0100630,Cherokee County,00278,Cherokee County High School,010063000278,0,0,0,0,010063000278,High,462.0,28.84,27.84,1.0,28.18,1430152.17,144.0,0.0,-18.0,1.0,6.0,1.0,24.0,57.0
AL,ALABAMA,0100630,Cherokee County,00741,Cherokee County Career Technology Center,010063000741,0,0,0,0,010063000741,High,22.0,1.0,1.0,0.0,1.0,42173.87,4.0,0.0,-18.0,0.0,-9.0,-9.0,-18.0,-18.0
AL,ALABAMA,0100660,Chilton County,00262,Jemison High School,010066000262,0,0,0,0,010066000262,High,636.0,34.0,34.0,0.0,34.0,1955652.11,163.0,0.0,-18.0,1.0,1.0,0.0,-18.0,7.0
AL,ALABAMA,0100660,Chilton County,01491,Chilton County High School,010066001491,0,0,0,0,010066001491,High,762.0,42.05,42.05,0.0,42.0,2245831.93,184.0,0.0,-18.0,1.0,5.0,1.0,25.0,81.0
AL,ALABAMA,0100690,Choctaw County Board of Education,00291,Choctaw County High School,010069000291,0,0,0,0,010069000291,High,342.0,18.0,18.0,0.0,18.0,993820.65,56.0,0.0,-18.0,0.0,-9.0,-9.0,-18.0,-18.0
AL,ALABAMA,0100690,Choctaw County Board of Education,00297,Southern Choctaw High School,010069000297,0,0,0,0,010069000297,High,325.0,18.0,18.0,0.0,18.0,1142631.0,66.0,0.0,-18.0,0.0,-9.0,-9.0,-18.0,-18.0
AL,ALABAMA,0100720,Clarke County,00298,Clarke County High School,010072000298,0,0,0,0,010072000298,High,379.0,23.0,23.0,0.0,23.0,1418245.0,54.0,0.0,-18.0,0.0,-9.0,-9.0,-18.0,-18.0
AL,ALABAMA,0100720,Clarke County,01493,Jackson High School,010072001493,0,0,0,0,010072001493,High,516.0,34.0,34.0,0.0,31.5,1599971.0,201.0,0.0,-18.0,1.0,8.0,1.0,9.0,18.0
AL,ALABAMA,0100750,Clay County,02210,Central High School of Clay County,010075002210,0,0,0,0,010075002210,High,577.0,33.62,33.62,0.0,33.62,2391920.49,143.0,0.0,-18.0,0.0,-9.0,-9.0,-18.0,-18.0
AL,ALABAMA,0100780,Cleburne County,00318,Cleburne County High School,010078000318,0,0,0,0,010078000318,High,633.0,42.06,42.06,0.0,35.56,1809344.4,110.0,0.0,-18.0,1.0,5.0,1.0,84.0,122.0
AL,ALABAMA,0100780,Cleburne County,00321,Ranburne High School,010078000321,0,0,0,0,010078000321,High,505.0,32.36,32.36,0.0,26.86,1340477.06,51.0,0.0,-18.0,0.0,-9.0,-9.0,-18.0,-18.0
AL,ALABAMA,0100810,Coffee County,01494,New Brockton High School,010081001494,0,0,0,0,010081001494,High,353.0,22.0,22.0,0.0,16.01,280254.0,84.0,0.0,-18.0,0.0,-9.0,-9.0,-18.0,-18.0
AL,ALABAMA,0100840,Colbert County,00333,Cherokee High School,010084000333,0,0,0,0,010084000333,High,256.0,19.0,19.0,0.0,18.83,913347.0,38.0,0.0,-18.0,1.0,1.0,0.0,-18.0,3.0
AL,ALABAMA,0100840,Colbert County,00334,Colbert County High School,010084000334,0,0,0,0,010084000334,High,388.0,27.0,27.0,0.0,22.51,1179716.0,58.0,0.0,-18.0,0.0,-9.0,-9.0,-18.0,-18.0
AL,ALABAMA,0100870,Conecuh County,01766,Hillcrest High School,010087001766,0,0,0,0,010087001766,High,387.0,26.5,26.5,0.0,26.0,1304615.1,87.0,0.0,-18.0,0.0,-9.0,-9.0,-18.0,-18.0
AL,ALABAMA,0100900,Coosa County,01749,Central High School,010090001749,0,0,0,0,010090001749,High,265.0,20.0,19.0,1.0,20.0,568023.04,45.0,0.0,-18.0,1.0,1.0,1.0,1.0,0.0
AL,ALABAMA,0100930,Covington County,00360,Florala High School,010093000360,0,0,0,0,010093000360,High,222.0,12.5,12.5,0.0,9.3,474721.99,40.0,0.0,-18.0,0.0,-9.0,-9.0,-18.0,-18.0
AL,ALABAMA,0100930,Covington County,00362,Red Level High School,010093000362,0,0,0,0,010093000362,High,246.0,17.04,17.04,0.0,13.14,696552.53,48.0,0.0,-18.0,0.0,-9.0,-9.0,-18.0,-18.0
AL,ALABAMA,0100930,Covington County,00363,Straughn High School,010093000363,0,0,0,0,010093000363,High,375.0,24.47,24.47,0.0,19.1,984875.14,104.0,0.0,-18.0,1.0,1.0,0.0,-18.0,6.0
AL,ALABAMA,0100990,Cullman City,00370,Cullman High School,010099000370,0,0,0,0,010099000370,High,928.0,59.0,59.0,0.0,55.0,2870821.0,208.0,0.0,-18.0,1.0,9.0,1.0,73.0,192.0
